STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00410144,"ALICE, TX US",1/1/1930,76,62,
USC00410144,"ALICE, TX US",1/2/1930,66,54,
USC00410144,"ALICE, TX US",1/3/1930,54,46,
USC00410144,"ALICE, TX US",1/4/1930,60,42,
USC00410144,"ALICE, TX US",1/5/1930,69,43,
USC00410144,"ALICE, TX US",1/6/1930,79,50,
USC00410144,"ALICE, TX US",1/7/1930,82,57,
USC00410144,"ALICE, TX US",1/8/1930,82,64,
USC00410144,"ALICE, TX US",1/9/1930,41,41,
USC00410144,"ALICE, TX US",1/10/1930,35,31,
USC00410144,"ALICE, TX US",1/11/1930,44,32,
USC00410144,"ALICE, TX US",1/12/1930,54,41,
USC00410144,"ALICE, TX US",1/13/1930,77,52,
USC00410144,"ALICE, TX US",1/14/1930,70,58,
USC00410144,"ALICE, TX US",1/15/1930,61,49,
USC00410144,"ALICE, TX US",1/16/1930,46,26,
USC00410144,"ALICE, TX US",1/17/1930,46,33,
USC00410144,"ALICE, TX US",1/18/1930,35,17,
USC00410144,"ALICE, TX US",1/19/1930,40,26,
USC00410144,"ALICE, TX US",1/20/1930,55,35,
USC00410144,"ALICE, TX US",1/21/1930,40,40,
USC00410144,"ALICE, TX US",1/22/1930,37,21,
USC00410144,"ALICE, TX US",1/23/1930,46,18,
USC00410144,"ALICE, TX US",1/24/1930,58,25,
USC00410144,"ALICE, TX US",1/25/1930,60,45,
USC00410144,"ALICE, TX US",1/26/1930,69,51,
USC00410144,"ALICE, TX US",1/27/1930,75,54,
USC00410144,"ALICE, TX US",1/28/1930,68,51,
USC00410144,"ALICE, TX US",1/29/1930,53,40,
USC00410144,"ALICE, TX US",1/30/1930,56,31,
USC00410144,"ALICE, TX US",1/31/1930,69,39,
USC00410144,"ALICE, TX US",2/1/1930,67,55,
USC00410144,"ALICE, TX US",2/2/1930,71,58,
USC00410144,"ALICE, TX US",2/3/1930,77,62,
USC00410144,"ALICE, TX US",2/4/1930,68,53,
USC00410144,"ALICE, TX US",2/5/1930,67,45,
USC00410144,"ALICE, TX US",2/6/1930,80,41,
USC00410144,"ALICE, TX US",2/7/1930,85,38,
USC00410144,"ALICE, TX US",2/8/1930,80,41,
USC00410144,"ALICE, TX US",2/9/1930,79,46,
USC00410144,"ALICE, TX US",2/10/1930,78,55,
USC00410144,"ALICE, TX US",2/11/1930,76,58,
USC00410144,"ALICE, TX US",2/12/1930,86,62,
USC00410144,"ALICE, TX US",2/13/1930,93,64,
USC00410144,"ALICE, TX US",2/14/1930,77,62,
USC00410144,"ALICE, TX US",2/15/1930,67,66,
USC00410144,"ALICE, TX US",2/16/1930,65,38,
USC00410144,"ALICE, TX US",2/17/1930,76,36,
USC00410144,"ALICE, TX US",2/18/1930,77,40,
USC00410144,"ALICE, TX US",2/19/1930,77,45,
USC00410144,"ALICE, TX US",2/20/1930,78,49,
USC00410144,"ALICE, TX US",2/21/1930,77,65,
USC00410144,"ALICE, TX US",2/22/1930,87,65,
USC00410144,"ALICE, TX US",2/23/1930,84,64,
USC00410144,"ALICE, TX US",2/24/1930,91,67,
USC00410144,"ALICE, TX US",2/25/1930,80,69,
USC00410144,"ALICE, TX US",2/26/1930,77,44,
USC00410144,"ALICE, TX US",2/27/1930,62,58,
USC00410144,"ALICE, TX US",2/28/1930,72,53,
USC00410144,"ALICE, TX US",3/1/1930,78,62,
USC00410144,"ALICE, TX US",3/2/1930,54,43,
USC00410144,"ALICE, TX US",3/3/1930,50,41,
USC00410144,"ALICE, TX US",3/4/1930,64,44,
USC00410144,"ALICE, TX US",3/5/1930,86,51,
USC00410144,"ALICE, TX US",3/6/1930,100,62,
USC00410144,"ALICE, TX US",3/7/1930,82,66,
USC00410144,"ALICE, TX US",3/8/1930,70,46,
USC00410144,"ALICE, TX US",3/9/1930,72,42,
USC00410144,"ALICE, TX US",3/10/1930,82,46,
USC00410144,"ALICE, TX US",3/11/1930,62,60,
USC00410144,"ALICE, TX US",3/12/1930,65,51,
USC00410144,"ALICE, TX US",3/13/1930,65,51,
USC00410144,"ALICE, TX US",3/14/1930,70,62,
USC00410144,"ALICE, TX US",3/15/1930,70,62,
USC00410144,"ALICE, TX US",3/16/1930,70,62,
USC00410144,"ALICE, TX US",3/17/1930,78,66,
USC00410144,"ALICE, TX US",3/18/1930,75,67,
USC00410144,"ALICE, TX US",3/19/1930,70,46,
USC00410144,"ALICE, TX US",3/20/1930,76,47,
USC00410144,"ALICE, TX US",3/21/1930,75,63,
USC00410144,"ALICE, TX US",3/22/1930,75,67,
USC00410144,"ALICE, TX US",3/23/1930,85,51,
USC00410144,"ALICE, TX US",3/24/1930,76,55,
USC00410144,"ALICE, TX US",3/25/1930,76,39,
USC00410144,"ALICE, TX US",3/26/1930,65,45,
USC00410144,"ALICE, TX US",3/27/1930,48,47,
USC00410144,"ALICE, TX US",3/28/1930,60,40,
USC00410144,"ALICE, TX US",3/29/1930,57,41,
USC00410144,"ALICE, TX US",3/30/1930,74,36,
USC00410144,"ALICE, TX US",3/31/1930,70,46,
USC00410144,"ALICE, TX US",4/1/1930,78,65,
USC00410144,"ALICE, TX US",4/2/1930,87,68,
USC00410144,"ALICE, TX US",4/3/1930,82,66,
USC00410144,"ALICE, TX US",4/4/1930,90,50,
USC00410144,"ALICE, TX US",4/5/1930,96,55,
USC00410144,"ALICE, TX US",4/6/1930,90,53,
USC00410144,"ALICE, TX US",4/7/1930,96,54,
USC00410144,"ALICE, TX US",4/8/1930,95,49,
USC00410144,"ALICE, TX US",4/9/1930,88,61,
USC00410144,"ALICE, TX US",4/10/1930,84,62,
USC00410144,"ALICE, TX US",4/11/1930,82,61,
USC00410144,"ALICE, TX US",4/12/1930,85,66,
USC00410144,"ALICE, TX US",4/13/1930,87,65,
USC00410144,"ALICE, TX US",4/14/1930,88,66,
USC00410144,"ALICE, TX US",4/15/1930,80,68,
USC00410144,"ALICE, TX US",4/16/1930,80,69,
USC00410144,"ALICE, TX US",4/17/1930,87,69,
USC00410144,"ALICE, TX US",4/18/1930,88,66,
USC00410144,"ALICE, TX US",4/19/1930,90,68,
USC00410144,"ALICE, TX US",4/20/1930,88,59,
USC00410144,"ALICE, TX US",4/21/1930,88,56,
USC00410144,"ALICE, TX US",4/22/1930,87,54,
USC00410144,"ALICE, TX US",4/23/1930,83,55,
USC00410144,"ALICE, TX US",4/24/1930,80,67,
USC00410144,"ALICE, TX US",4/25/1930,80,61,
USC00410144,"ALICE, TX US",4/26/1930,82,63,
USC00410144,"ALICE, TX US",4/27/1930,85,67,
USC00410144,"ALICE, TX US",4/28/1930,73,69,
USC00410144,"ALICE, TX US",4/29/1930,82,63,
USC00410144,"ALICE, TX US",4/30/1930,80,66,
USC00410144,"ALICE, TX US",5/1/1930,79,70,
USC00410144,"ALICE, TX US",5/2/1930,82,71,
USC00410144,"ALICE, TX US",5/3/1930,85,72,
USC00410144,"ALICE, TX US",5/4/1930,81,72,
USC00410144,"ALICE, TX US",5/5/1930,81,72,
USC00410144,"ALICE, TX US",5/6/1930,90,73,
USC00410144,"ALICE, TX US",5/7/1930,85,67,
USC00410144,"ALICE, TX US",5/8/1930,81,73,
USC00410144,"ALICE, TX US",5/9/1930,81,74,
USC00410144,"ALICE, TX US",5/10/1930,94,75,
USC00410144,"ALICE, TX US",5/11/1930,75,70,
USC00410144,"ALICE, TX US",5/12/1930,82,72,
USC00410144,"ALICE, TX US",5/13/1930,86,74,
USC00410144,"ALICE, TX US",5/14/1930,87,67,
USC00410144,"ALICE, TX US",5/15/1930,89,73,
USC00410144,"ALICE, TX US",5/16/1930,96,74,
USC00410144,"ALICE, TX US",5/17/1930,83,76,
USC00410144,"ALICE, TX US",5/18/1930,99,76,
USC00410144,"ALICE, TX US",5/19/1930,87,72,
USC00410144,"ALICE, TX US",5/20/1930,87,69,
USC00410144,"ALICE, TX US",5/21/1930,89,71,
USC00410144,"ALICE, TX US",5/22/1930,90,73,
USC00410144,"ALICE, TX US",5/23/1930,90,73,
USC00410144,"ALICE, TX US",5/24/1930,78,62,
USC00410144,"ALICE, TX US",5/25/1930,81,66,
USC00410144,"ALICE, TX US",5/26/1930,83,64,
USC00410144,"ALICE, TX US",5/27/1930,82,65,
USC00410144,"ALICE, TX US",5/28/1930,77,70,
USC00410144,"ALICE, TX US",5/29/1930,78,67,
USC00410144,"ALICE, TX US",5/30/1930,86,69,
USC00410144,"ALICE, TX US",5/31/1930,80,68,
USC00410144,"ALICE, TX US",6/1/1930,83,62,
USC00410144,"ALICE, TX US",6/2/1930,86,66,
USC00410144,"ALICE, TX US",6/3/1930,87,71,
USC00410144,"ALICE, TX US",6/4/1930,90,72,
USC00410144,"ALICE, TX US",6/5/1930,90,69,
USC00410144,"ALICE, TX US",6/6/1930,90,71,
USC00410144,"ALICE, TX US",6/7/1930,93,72,
USC00410144,"ALICE, TX US",6/8/1930,88,69,
USC00410144,"ALICE, TX US",6/9/1930,85,64,
USC00410144,"ALICE, TX US",6/10/1930,74,70,
USC00410144,"ALICE, TX US",6/11/1930,80,69,
USC00410144,"ALICE, TX US",6/12/1930,87,74,
USC00410144,"ALICE, TX US",6/13/1930,87,76,
USC00410144,"ALICE, TX US",6/14/1930,88,74,
USC00410144,"ALICE, TX US",6/15/1930,90,74,
USC00410144,"ALICE, TX US",6/16/1930,85,73,
USC00410144,"ALICE, TX US",6/17/1930,90,71,
USC00410144,"ALICE, TX US",6/18/1930,90,71,
USC00410144,"ALICE, TX US",6/19/1930,90,70,
USC00410144,"ALICE, TX US",6/20/1930,90,70,
USC00410144,"ALICE, TX US",6/21/1930,89,71,
USC00410144,"ALICE, TX US",6/22/1930,91,72,
USC00410144,"ALICE, TX US",6/23/1930,95,75,
USC00410144,"ALICE, TX US",6/24/1930,96,74,
USC00410144,"ALICE, TX US",6/25/1930,97,76,
USC00410144,"ALICE, TX US",6/26/1930,96,73,
USC00410144,"ALICE, TX US",6/27/1930,98,70,
USC00410144,"ALICE, TX US",6/28/1930,100,71,
USC00410144,"ALICE, TX US",6/29/1930,99,74,
USC00410144,"ALICE, TX US",6/30/1930,96,76,
USC00410144,"ALICE, TX US",7/1/1930,97,72,
USC00410144,"ALICE, TX US",7/2/1930,97,73,
USC00410144,"ALICE, TX US",7/3/1930,97,73,
USC00410144,"ALICE, TX US",7/4/1930,95,72,
USC00410144,"ALICE, TX US",7/5/1930,95,72,
