STATION,NAME,DATE,PRCP,SNOW,SNWD
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/1/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/2/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/3/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/4/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/5/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/6/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/7/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/8/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/9/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/10/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/11/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/12/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/13/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/14/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/15/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/16/1948,0.01,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/17/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/18/1948,0.14,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/19/1948,0.23,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/20/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/21/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/22/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/23/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/24/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/25/1948,0.15,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/26/1948,0.4,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/27/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/28/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/29/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/30/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",1/31/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/1/1948,0.72,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/2/1948,0.46,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/3/1948,0.11,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/4/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/5/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/6/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/7/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/8/1948,0.15,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/9/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/10/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/11/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/12/1948,0.04,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/13/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/14/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/15/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/16/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/17/1948,0,0,0
USW00012932,"ALICE INTERNATIONAL AIRPORT, TX US",2/18/1948,0,0,0
