STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/1/1930,75,55,72
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/2/1930,72,42,68
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/3/1930,68,44,52
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/4/1930,61,37,56
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/5/1930,68,32,64
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/6/1930,73,49,68
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/7/1930,78,50,73
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/8/1930,73,50,51
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/9/1930,51,36,41
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/10/1930,41,30,37
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/11/1930,40,31,40
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/12/1930,46,38,46
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/13/1930,52,41,52
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/14/1930,68,46,63
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/15/1930,67,41,62
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/16/1930,62,33,43
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/17/1930,43,21,36
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/18/1930,37,21,36
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/19/1930,44,27,41
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/20/1930,56,34,53
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/21/1930,53,34,36
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/22/1930,38,19,29
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/23/1930,49,13,47
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/24/1930,57,21,52
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/25/1930,57,33,53
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/26/1930,64,50,63
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/27/1930,66,47,63
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/28/1930,64,44,49
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/29/1930,56,43,53
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/30/1930,60,33,58
USC00411486,"CARRIZO SPRINGS 3 S, TX US",1/31/1930,65,32,61
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/1/1930,62,55,60
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/2/1930,71,50,67
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/3/1930,80,56,73
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/4/1930,74,51,63
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/5/1930,71,42,65
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/6/1930,79,37,76
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/7/1930,84,41,46
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/8/1930,83,46,76
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/9/1930,83,44,77
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/10/1930,77,52,66
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/11/1930,73,53,69
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/12/1930,89,45,84
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/13/1930,91,47,82
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/14/1930,82,58,70
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/15/1930,70,54,65
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/16/1930,67,37,62
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/17/1930,75,35,69
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/18/1930,77,40,71
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/19/1930,79,48,72
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/20/1930,80,51,72
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/21/1930,82,62,76
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/22/1930,90,56,84
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/23/1930,86,61,81
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/24/1930,90,62,75
USC00411486,"CARRIZO SPRINGS 3 S, TX US",2/25/1930,77,55,69
