STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00412906,"ENCINAL, TX US",1/1/1930,71,50,
USC00412906,"ENCINAL, TX US",1/2/1930,68,50,
USC00412906,"ENCINAL, TX US",1/3/1930,71,38,
USC00412906,"ENCINAL, TX US",1/4/1930,61,39,
USC00412906,"ENCINAL, TX US",1/5/1930,66,41,
USC00412906,"ENCINAL, TX US",1/6/1930,77,47,
USC00412906,"ENCINAL, TX US",1/7/1930,78,53,
USC00412906,"ENCINAL, TX US",1/8/1930,69,56,
USC00412906,"ENCINAL, TX US",1/9/1930,45,45,
USC00412906,"ENCINAL, TX US",1/10/1930,37,33,
USC00412906,"ENCINAL, TX US",1/11/1930,57,31,
USC00412906,"ENCINAL, TX US",1/12/1930,47,47,
USC00412906,"ENCINAL, TX US",1/13/1930,49,34,
USC00412906,"ENCINAL, TX US",1/14/1930,63,42,
USC00412906,"ENCINAL, TX US",1/15/1930,63,45,
USC00412906,"ENCINAL, TX US",1/16/1930,43,27,
USC00412906,"ENCINAL, TX US",1/17/1930,41,29,
USC00412906,"ENCINAL, TX US",1/18/1930,37,19,
USC00412906,"ENCINAL, TX US",1/19/1930,38,24,
USC00412906,"ENCINAL, TX US",1/20/1930,49,34,
USC00412906,"ENCINAL, TX US",1/21/1930,42,37,
USC00412906,"ENCINAL, TX US",1/22/1930,39,21,
USC00412906,"ENCINAL, TX US",1/23/1930,47,17,
USC00412906,"ENCINAL, TX US",1/24/1930,58,21,
USC00412906,"ENCINAL, TX US",1/25/1930,57,24,
USC00412906,"ENCINAL, TX US",1/26/1930,66,38,
USC00412906,"ENCINAL, TX US",1/27/1930,67,47,
USC00412906,"ENCINAL, TX US",1/28/1930,59,53,
USC00412906,"ENCINAL, TX US",1/29/1930,53,39,
USC00412906,"ENCINAL, TX US",1/30/1930,57,33,
USC00412906,"ENCINAL, TX US",1/31/1930,64,33,
USC00412906,"ENCINAL, TX US",2/1/1930,63,34,
USC00412906,"ENCINAL, TX US",2/2/1930,69,40,
USC00412906,"ENCINAL, TX US",2/3/1930,77,47,
USC00412906,"ENCINAL, TX US",2/4/1930,67,50,
USC00412906,"ENCINAL, TX US",2/5/1930,68,40,
USC00412906,"ENCINAL, TX US",2/6/1930,72,47,
USC00412906,"ENCINAL, TX US",2/7/1930,84,43,
USC00412906,"ENCINAL, TX US",2/8/1930,82,39,
USC00412906,"ENCINAL, TX US",2/9/1930,81,43,
USC00412906,"ENCINAL, TX US",2/10/1930,67,51,
USC00412906,"ENCINAL, TX US",2/11/1930,72,49,
USC00412906,"ENCINAL, TX US",2/12/1930,83,53,
USC00412906,"ENCINAL, TX US",2/13/1930,88,55,
USC00412906,"ENCINAL, TX US",2/14/1930,75,60,
