STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00414058,"HEBBRONVILLE, TX US",1/1/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/2/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/3/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/4/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/5/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/6/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/7/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/8/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/9/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/10/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/11/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/12/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/13/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/14/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/15/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/16/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/17/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/18/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/19/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/20/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/21/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/22/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/23/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/24/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/25/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/26/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/27/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/28/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/29/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/30/1930,,,
USC00414058,"HEBBRONVILLE, TX US",1/31/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/1/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/2/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/3/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/4/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/5/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/6/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/7/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/8/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/9/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/10/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/11/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/12/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/13/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/14/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/15/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/16/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/17/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/18/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/19/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/20/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/21/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/22/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/23/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/24/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/25/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/26/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/27/1930,,,
USC00414058,"HEBBRONVILLE, TX US",2/28/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/1/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/2/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/3/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/4/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/5/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/6/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/7/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/8/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/9/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/10/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/11/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/12/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/13/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/14/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/15/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/16/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/17/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/18/1930,,,
USC00414058,"HEBBRONVILLE, TX US",3/19/1930,,,
