STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00414810,"KINGSVILLE, TX US",1/1/1930,,64,
USC00414810,"KINGSVILLE, TX US",1/2/1930,,,
USC00414810,"KINGSVILLE, TX US",1/3/1930,,,
USC00414810,"KINGSVILLE, TX US",1/4/1930,51,,
USC00414810,"KINGSVILLE, TX US",1/5/1930,79,44,46
USC00414810,"KINGSVILLE, TX US",1/6/1930,84,46,64
USC00414810,"KINGSVILLE, TX US",1/7/1930,71,62,70
USC00414810,"KINGSVILLE, TX US",1/8/1930,71,49,75
USC00414810,"KINGSVILLE, TX US",1/9/1930,65,38,45
USC00414810,"KINGSVILLE, TX US",1/10/1930,33,30,33
USC00414810,"KINGSVILLE, TX US",1/11/1930,38,30,33
USC00414810,"KINGSVILLE, TX US",1/12/1930,70,33,34
USC00414810,"KINGSVILLE, TX US",1/13/1930,71,34,54
USC00414810,"KINGSVILLE, TX US",1/14/1930,72,39,56
USC00414810,"KINGSVILLE, TX US",1/15/1930,55,38,49
USC00414810,"KINGSVILLE, TX US",1/16/1930,72,26,34
USC00414810,"KINGSVILLE, TX US",1/17/1930,38,27,38
USC00414810,"KINGSVILLE, TX US",1/18/1930,30,16,18
USC00414810,"KINGSVILLE, TX US",1/19/1930,47,18,30
USC00414810,"KINGSVILLE, TX US",1/20/1930,41,28,41
USC00414810,"KINGSVILLE, TX US",1/21/1930,40,19,27
USC00414810,"KINGSVILLE, TX US",1/22/1930,45,17,20
USC00414810,"KINGSVILLE, TX US",1/23/1930,49,20,28
USC00414810,"KINGSVILLE, TX US",1/24/1930,58,20,33
USC00414810,"KINGSVILLE, TX US",1/25/1930,56,33,41
USC00414810,"KINGSVILLE, TX US",1/26/1930,67,38,43
USC00414810,"KINGSVILLE, TX US",1/27/1930,78,40,50
USC00414810,"KINGSVILLE, TX US",1/28/1930,77,48,52
USC00414810,"KINGSVILLE, TX US",1/29/1930,81,52,62
USC00414810,"KINGSVILLE, TX US",1/30/1930,79,60,63
USC00414810,"KINGSVILLE, TX US",1/31/1930,79,58,60
USC00414810,"KINGSVILLE, TX US",2/1/1930,,,
USC00414810,"KINGSVILLE, TX US",2/2/1930,,,
USC00414810,"KINGSVILLE, TX US",2/3/1930,,,
USC00414810,"KINGSVILLE, TX US",2/4/1930,,,
USC00414810,"KINGSVILLE, TX US",2/5/1930,,,
USC00414810,"KINGSVILLE, TX US",2/6/1930,,,
USC00414810,"KINGSVILLE, TX US",2/7/1930,,,
USC00414810,"KINGSVILLE, TX US",2/8/1930,,,
USC00414810,"KINGSVILLE, TX US",2/9/1930,,,
USC00414810,"KINGSVILLE, TX US",2/10/1930,,,
USC00414810,"KINGSVILLE, TX US",2/11/1930,,,
USC00414810,"KINGSVILLE, TX US",2/12/1930,,,
USC00414810,"KINGSVILLE, TX US",2/13/1930,,,
USC00414810,"KINGSVILLE, TX US",2/14/1930,,,
USC00414810,"KINGSVILLE, TX US",2/15/1930,,,
USC00414810,"KINGSVILLE, TX US",2/16/1930,,,
USC00414810,"KINGSVILLE, TX US",2/17/1930,,,
USC00414810,"KINGSVILLE, TX US",2/18/1930,,,
USC00414810,"KINGSVILLE, TX US",2/19/1930,,,
USC00414810,"KINGSVILLE, TX US",2/20/1930,,,
USC00414810,"KINGSVILLE, TX US",2/21/1930,,,
USC00414810,"KINGSVILLE, TX US",2/22/1930,,,
USC00414810,"KINGSVILLE, TX US",2/23/1930,,,
USC00414810,"KINGSVILLE, TX US",2/24/1930,,,
USC00414810,"KINGSVILLE, TX US",2/25/1930,,,
USC00414810,"KINGSVILLE, TX US",2/26/1930,,,
USC00414810,"KINGSVILLE, TX US",2/27/1930,,,
USC00414810,"KINGSVILLE, TX US",2/28/1930,,,
USC00414810,"KINGSVILLE, TX US",3/1/1930,74,42,60
USC00414810,"KINGSVILLE, TX US",3/2/1930,86,40,59
USC00414810,"KINGSVILLE, TX US",3/3/1930,79,45,63
USC00414810,"KINGSVILLE, TX US",3/4/1930,80,41,60
USC00414810,"KINGSVILLE, TX US",3/5/1930,87,39,55
USC00414810,"KINGSVILLE, TX US",3/6/1930,97,52,62
USC00414810,"KINGSVILLE, TX US",3/7/1930,81,53,65
USC00414810,"KINGSVILLE, TX US",3/8/1930,82,40,63
USC00414810,"KINGSVILLE, TX US",3/9/1930,85,46,62
USC00414810,"KINGSVILLE, TX US",3/10/1930,65,42,60
USC00414810,"KINGSVILLE, TX US",3/11/1930,69,41,49
USC00414810,"KINGSVILLE, TX US",3/12/1930,83,41,59
USC00414810,"KINGSVILLE, TX US",3/13/1930,66,59,64
USC00414810,"KINGSVILLE, TX US",3/14/1930,65,51,64
USC00414810,"KINGSVILLE, TX US",3/15/1930,76,52,61
USC00414810,"KINGSVILLE, TX US",3/16/1930,76,61,70
USC00414810,"KINGSVILLE, TX US",3/17/1930,72,61,72
USC00414810,"KINGSVILLE, TX US",3/18/1930,68,44,53
USC00414810,"KINGSVILLE, TX US",3/19/1930,68,43,49
USC00414810,"KINGSVILLE, TX US",3/20/1930,71,48,68
USC00414810,"KINGSVILLE, TX US",3/21/1930,78,38,49
USC00414810,"KINGSVILLE, TX US",3/22/1930,77,48,52
USC00414810,"KINGSVILLE, TX US",3/23/1930,79,52,62
USC00414810,"KINGSVILLE, TX US",3/24/1930,81,58,60
USC00414810,"KINGSVILLE, TX US",3/25/1930,84,50,63
USC00414810,"KINGSVILLE, TX US",3/26/1930,82,61,66
USC00414810,"KINGSVILLE, TX US",3/27/1930,72,66,72
USC00414810,"KINGSVILLE, TX US",3/28/1930,59,38,40
USC00414810,"KINGSVILLE, TX US",3/29/1930,78,35,54
USC00414810,"KINGSVILLE, TX US",3/30/1930,74,54,72
USC00414810,"KINGSVILLE, TX US",3/31/1930,74,42,57
USC00414810,"KINGSVILLE, TX US",4/1/1930,85,60,67
USC00414810,"KINGSVILLE, TX US",4/2/1930,84,60,60
USC00414810,"KINGSVILLE, TX US",4/3/1930,81,60,60
USC00414810,"KINGSVILLE, TX US",4/4/1930,87,60,70
USC00414810,"KINGSVILLE, TX US",4/5/1930,85,62,67
USC00414810,"KINGSVILLE, TX US",4/6/1930,89,57,61
