STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00415060,"LAREDO 2, TX US",9/1/1946,,,
USC00415060,"LAREDO 2, TX US",9/2/1946,,,
USC00415060,"LAREDO 2, TX US",9/3/1946,,,
USC00415060,"LAREDO 2, TX US",9/4/1946,,,
USC00415060,"LAREDO 2, TX US",9/5/1946,,,
USC00415060,"LAREDO 2, TX US",9/6/1946,,,
USC00415060,"LAREDO 2, TX US",9/7/1946,,,
USC00415060,"LAREDO 2, TX US",9/8/1946,,,
USC00415060,"LAREDO 2, TX US",9/9/1946,,,
USC00415060,"LAREDO 2, TX US",9/10/1946,,,
USC00415060,"LAREDO 2, TX US",9/11/1946,,,
USC00415060,"LAREDO 2, TX US",9/12/1946,,,
USC00415060,"LAREDO 2, TX US",9/13/1946,,,
USC00415060,"LAREDO 2, TX US",9/14/1946,,,
USC00415060,"LAREDO 2, TX US",9/15/1946,,,
USC00415060,"LAREDO 2, TX US",9/16/1946,,,
USC00415060,"LAREDO 2, TX US",9/17/1946,,,
USC00415060,"LAREDO 2, TX US",9/18/1946,,,
USC00415060,"LAREDO 2, TX US",9/19/1946,,,
USC00415060,"LAREDO 2, TX US",9/20/1946,,,
USC00415060,"LAREDO 2, TX US",9/21/1946,,,
USC00415060,"LAREDO 2, TX US",9/22/1946,,,
USC00415060,"LAREDO 2, TX US",9/23/1946,,,
USC00415060,"LAREDO 2, TX US",9/24/1946,,,
USC00415060,"LAREDO 2, TX US",9/25/1946,,,
USC00415060,"LAREDO 2, TX US",9/26/1946,,,
USC00415060,"LAREDO 2, TX US",9/27/1946,,,
USC00415060,"LAREDO 2, TX US",9/28/1946,,,
USC00415060,"LAREDO 2, TX US",9/29/1946,,,
USC00415060,"LAREDO 2, TX US",9/30/1946,,,
USC00415060,"LAREDO 2, TX US",10/1/1946,,,
USC00415060,"LAREDO 2, TX US",10/2/1946,,,
USC00415060,"LAREDO 2, TX US",10/3/1946,,,
USC00415060,"LAREDO 2, TX US",10/4/1946,,,
USC00415060,"LAREDO 2, TX US",10/5/1946,,,
USC00415060,"LAREDO 2, TX US",10/6/1946,,,
USC00415060,"LAREDO 2, TX US",10/7/1946,,,
USC00415060,"LAREDO 2, TX US",10/8/1946,,,
USC00415060,"LAREDO 2, TX US",10/9/1946,,,
USC00415060,"LAREDO 2, TX US",10/10/1946,,,
USC00415060,"LAREDO 2, TX US",10/11/1946,,,
USC00415060,"LAREDO 2, TX US",10/12/1946,,,
USC00415060,"LAREDO 2, TX US",10/13/1946,,,
USC00415060,"LAREDO 2, TX US",10/14/1946,,,
USC00415060,"LAREDO 2, TX US",10/15/1946,,,
USC00415060,"LAREDO 2, TX US",10/16/1946,,,
USC00415060,"LAREDO 2, TX US",10/17/1946,,,
USC00415060,"LAREDO 2, TX US",10/18/1946,,,
USC00415060,"LAREDO 2, TX US",10/19/1946,,,
USC00415060,"LAREDO 2, TX US",10/20/1946,,,
USC00415060,"LAREDO 2, TX US",10/21/1946,,,
USC00415060,"LAREDO 2, TX US",10/22/1946,,,
USC00415060,"LAREDO 2, TX US",10/23/1946,,,
USC00415060,"LAREDO 2, TX US",10/24/1946,,,
USC00415060,"LAREDO 2, TX US",10/25/1946,,,
USC00415060,"LAREDO 2, TX US",10/26/1946,,,
USC00415060,"LAREDO 2, TX US",10/27/1946,,,
USC00415060,"LAREDO 2, TX US",10/28/1946,,,
USC00415060,"LAREDO 2, TX US",10/29/1946,,,
USC00415060,"LAREDO 2, TX US",10/30/1946,,,
USC00415060,"LAREDO 2, TX US",10/31/1946,,,
USC00415060,"LAREDO 2, TX US",11/1/1946,,,
USC00415060,"LAREDO 2, TX US",11/2/1946,,,
USC00415060,"LAREDO 2, TX US",11/3/1946,,,
USC00415060,"LAREDO 2, TX US",11/4/1946,,,
USC00415060,"LAREDO 2, TX US",11/5/1946,,,
USC00415060,"LAREDO 2, TX US",11/6/1946,,,
USC00415060,"LAREDO 2, TX US",11/7/1946,,,
USC00415060,"LAREDO 2, TX US",11/8/1946,,,
USC00415060,"LAREDO 2, TX US",11/9/1946,,,
USC00415060,"LAREDO 2, TX US",11/10/1946,,,
USC00415060,"LAREDO 2, TX US",11/11/1946,,,
USC00415060,"LAREDO 2, TX US",11/12/1946,,,
USC00415060,"LAREDO 2, TX US",11/13/1946,,,
USC00415060,"LAREDO 2, TX US",11/14/1946,,,
USC00415060,"LAREDO 2, TX US",11/15/1946,,,
USC00415060,"LAREDO 2, TX US",11/16/1946,,,
USC00415060,"LAREDO 2, TX US",11/17/1946,,,
USC00415060,"LAREDO 2, TX US",11/18/1946,,,
USC00415060,"LAREDO 2, TX US",11/19/1946,,,
USC00415060,"LAREDO 2, TX US",11/20/1946,,,
USC00415060,"LAREDO 2, TX US",11/21/1946,,,
USC00415060,"LAREDO 2, TX US",11/22/1946,,,
USC00415060,"LAREDO 2, TX US",11/23/1946,,,
USC00415060,"LAREDO 2, TX US",11/24/1946,,,
USC00415060,"LAREDO 2, TX US",11/25/1946,,,
USC00415060,"LAREDO 2, TX US",11/26/1946,,,
USC00415060,"LAREDO 2, TX US",11/27/1946,,,
